	eng	ukr	ces	fra	ita	deu	lat	pol	rus	nob
om	0.004914070319654152	0.004734982332155477	0.005503541327951262	0.005120161335499412	0.005157618888574879	0.004914514675466976	0.00545110042267891	0.005207705475323674	0.004811258148885506	0.004527504088715146
mi	0.0050365227761569095	0.004522968197879859	0.0050363476668348565	0.004722424514032827	0.005555841019448655	0.004875613503893359	0.004926395569159015	0.005810449164597247	0.004157395479564352	0.00426821971359049
na	0.005339991907489831	0.007243816254416961	0.007447066958195511	0.004912890034171755	0.008298435372401922	0.005011767604401019	0.006762862556478648	0.00876791153329958	0.006616699847757349	0.004288164665523156
le	0.007096918457312009	0.004575971731448763	0.005980078862289996	0.009400033611562377	0.0075341057986280605	0.006496495652794076	0.004664043142399067	0.0057943759995499515	0.00492836788070422	0.0072998524073556986
 o	0.0032210320080073257	0.0031625441696113074	0.003438545345816748	0.002834575093832278	0.003217891734963903	0.002560993795263134	0.003119078851479376	0.003182486679364467	0.003571846820470781	0.0030116877418325423
ou	0.002486317268990779	0.00017667844522968197	0.0008222608435648745	0.0032211080611730435	0.0004110680060632531	0.0007131881455163158	0.0	0.00021698772813848638	0.00025373775227388064	0.0003390641828553193
ri	0.009290414634665758	0.008462897526501766	0.008914055054101026	0.00951767407988348	0.01218431261721861	0.011423977385452259	0.011660107855997668	0.004894278756901415	0.008929617051176952	0.010770274043639555
ig	0.001575909874992014	0.0008833922261484099	0.0009997944347891088	0.0016245588482437959	0.0020938776558846956	0.0017764868351951865	0.0015158140212796968	0.0009643899028377173	0.001268688761369403	0.0019944951932665844
gi	0.002576825606405861	0.0034628975265017666	0.003681486049597279	0.0031930984258584953	0.004393289314801018	0.003903084214552928	0.005042996647718991	0.0037771937861143926	0.004020767459109185	0.003669871155610515
tr	0.005792533594565241	0.006484098939929329	0.006942497804189793	0.006912777995630497	0.00669270097371734	0.005627702820983292	0.00580090365835884	0.006750729319864021	0.006714291290939611	0.005983485579799753
